,place_id,result,success,acceptance_ratio,aver_revenue,revenue,cost,revenue_to_cost,inservice
0,1,True,1,1.0,244.0,244,308,0.7922077922077922,1
1,2,True,2,1.0,423.5,603,758,0.7945590994371482,2
2,3,True,3,1.0,530.6666666666666,745,977,0.7792462065589819,3
3,4,True,4,1.0,584.75,747,1027,0.7618892508143322,4
4,5,True,5,1.0,591.2,617,889,0.7466531952513261,5
5,6,True,6,1.0,636.1666666666666,861,1125,0.750786782061369,6
6,7,True,7,1.0,598.4285714285714,372,487,0.7519296356129959,7
7,8,True,8,1.0,547.25,189,236,0.7539176855519201,8
8,9,True,9,1.0,554.0,608,806,0.7539694541055497,9
9,10,True,10,1.0,524.0,254,386,0.7486783826260894,10
10,11,True,11,1.0,519.0909090909091,470,589,0.7525039536109647,11
11,12,True,12,1.0,547.0,854,1084,0.7569188191881919,12
12,13,True,13,1.0,520.0769230769231,197,245,0.7582146461814512,11
13,14,True,14,1.0,504.64285714285717,304,391,0.7590244950580146,12
14,15,True,15,1.0,536.7333333333333,986,1194,0.7666158826890116,12
15,16,True,16,1.0,519.0,253,343,0.7656984785615492,13
16,17,True,17,1.0,517.3529411764706,491,595,0.7687937062937062,14
17,18,True,18,1.0,493.8888888888889,95,106,0.7699636237658063,15
18,19,True,19,1.0,493.57894736842104,488,591,0.7726785861415506,16
19,20,True,20,1.0,491.0,442,675,0.7664689353730877,17
20,21,True,21,1.0,488.0952380952381,430,589,0.7648682934109395,18
21,22,True,22,1.0,484.27272727272725,404,530,0.7647692197257914,18
22,23,True,23,1.0,467.82608695652175,106,118,0.76589081073386,19
23,24,True,24,1.0,467.4166666666667,458,520,0.7699910769441966,20
24,25,True,25,1.0,469.32,515,727,0.7670632845188284,20
25,26,True,26,1.0,473.53846153846155,579,720,0.7687312687312687,20
26,27,True,27,1.0,485.85185185185185,806,990,0.7713748088909796,21
27,28,True,28,1.0,486.07142857142856,492,658,0.7704936594202898,22
28,29,True,29,1.0,475.3448275862069,175,217,0.7709300374699402,22
29,30,True,30,1.0,480.23333333333335,622,644,0.7777058029689609,23
30,31,True,31,1.0,487.83870967741933,716,1008,0.7742282291506681,24
31,32,True,32,1.0,476.6875,131,150,0.7749834882893868,25
32,33,True,33,1.0,465.6969696969697,114,129,0.7756915001009489,26
33,34,True,34,1.0,470.97058823529414,645,777,0.7777453980280733,26
34,35,True,35,1.0,462.6,178,216,0.7782263878875271,27
35,36,True,36,1.0,459.55555555555554,353,458,0.7780651836523539,28
36,37,True,37,1.0,469.27027027027026,819,1077,0.7772157564905998,29
37,38,True,38,1.0,473.89473684210526,645,775,0.7790612156608263,30
38,39,True,39,1.0,476.84615384615387,589,721,0.7802064104715556,30
39,40,True,40,1.0,469.975,202,270,0.7798473409109765,31
40,41,True,41,1.0,481.0243902439024,923,1266,0.7773135740186032,32
41,42,True,42,1.0,489.1666666666667,823,1121,0.7754878647189823,33
42,43,True,43,1.0,489.1860465116279,490,708,0.7733171574574464,34
43,44,True,44,1.0,492.3863636363636,630,894,0.7711336536750312,35
