,place_id,result,success,acceptance_ratio,aver_revenue,revenue,cost,revenue_to_cost,inservice
0,1,True,1,1.0,488.0,488,591,0.8257191201353637,1
1,2,True,2,1.0,371.0,254,335,0.8012958963282938,2
2,3,True,3,1.0,328.6666666666667,244,307,0.7996755879967559,3
3,4,True,4,1.0,369.25,491,612,0.8005420054200542,3
4,5,True,5,1.0,389.4,470,664,0.7760063770426465,4
5,6,True,6,1.0,425.0,603,810,0.7683037059355228,5
6,7,True,7,1.0,456.42857142857144,645,745,0.7861712598425197,6
7,8,True,8,1.0,507.0,861,1205,0.7697855380527614,7
8,9,True,9,1.0,533.6666666666666,747,929,0.7749273959341723,8
9,10,True,10,1.0,500.0,197,227,0.7782101167315175,9
10,11,True,11,1.0,494.72727272727275,442,627,0.7716959727736812,10
11,12,True,12,1.0,524.6666666666666,854,1129,0.7695880699181029,11
12,13,True,13,1.0,512.9230769230769,372,510,0.7672304683005408,11
13,14,True,14,1.0,511.42857142857144,492,614,0.7694787748522299,12
14,15,True,15,1.0,483.6666666666667,95,106,0.7709063861438742,13
15,16,True,16,1.0,491.4375,608,770,0.77232099007956,14
16,17,True,17,1.0,477.4117647058824,253,343,0.7711896617255797,15
17,18,True,18,1.0,485.1666666666667,617,807,0.770717500661901,16
18,19,True,19,1.0,511.5263157894737,986,1272,0.7711655954931366,17
19,20,True,20,1.0,501.15,304,362,0.7730813729271114,18
20,21,True,21,1.0,486.2857142857143,189,214,0.774869109947644,19
21,22,True,22,1.0,498.04545454545456,745,922,0.7770370895681158,20
22,23,True,23,1.0,504.4347826086956,645,851,0.7759497057249867,20
23,24,True,24,1.0,507.5416666666667,579,665,0.7799833514759557,20
24,25,True,25,1.0,516.56,733,977,0.7782330962998675,21
25,26,True,26,1.0,516.5,515,738,0.7748096007385183,22
26,27,True,27,1.0,523.8888888888889,716,1016,0.7709287115761936,23
27,28,True,28,1.0,528.0,639,881,0.7688387331634511,23
28,29,True,29,1.0,515.9310344827586,178,218,0.7693731680979071,24
29,30,True,30,1.0,512.2,404,510,0.7699554041188555,23
30,31,True,31,1.0,499.35483870967744,114,144,0.770110939754241,24
31,32,True,32,1.0,508.9375,806,1067,0.7693688586545729,25
32,33,True,33,1.0,507.3030303030303,455,582,0.7697011494252873,23
33,34,True,34,1.0,496.2352941176471,131,150,0.7704109589041096,24
34,35,True,35,1.0,499.8285714285714,622,754,0.7722256555133751,25
35,36,True,36,1.0,508.69444444444446,819,1009,0.7739086337319866,26
36,37,True,37,1.0,500.4054054054054,202,246,0.7743945794470701,27
37,38,True,38,1.0,496.5263157894737,353,463,0.7741670769735762,28
38,39,True,39,1.0,494.8205128205128,430,544,0.7745223952480333,29
39,40,True,40,1.0,497.175,589,696,0.7764719662658129,30
40,41,True,41,1.0,489.3170731707317,175,194,0.7774161047818337,31
41,42,True,42,1.0,488.57142857142856,458,554,0.7784522003034902,32
42,43,True,43,1.0,491.51162790697674,615,768,0.7790843409023887,33
43,44,True,44,1.0,482.75,106,112,0.7797723935389134,34
44,45,True,45,1.0,476.93333333333334,221,302,0.77924624210297,35
45,46,True,46,1.0,485.60869565217394,876,1173,0.7779209472401184,36
46,47,True,47,1.0,485.93617021276594,501,588,0.7794082517148415,37
47,48,True,48,1.0,490.7708333333333,718,948,0.7787180589071435,38
48,49,True,49,1.0,497.55102040816325,823,1093,0.7778203164880041,39
49,50,True,50,1.0,507.18,979,1482,0.7725278742460245,40
50,51,False,50,0.9803921568627451,497.2352941176471,0,0,0.7725278742460245,40
51,52,True,51,0.9807692307692307,494.65384615384613,363,530,0.7711356277731143,41
52,53,False,51,0.9622641509433962,485.3207547169811,0,0,0.7711356277731143,41
53,54,False,51,0.9444444444444444,476.3333333333333,0,0,0.7711356277731143,41
54,55,False,51,0.9272727272727272,467.6727272727273,0,0,0.7711356277731143,41
55,56,False,51,0.9107142857142857,459.32142857142856,0,0,0.7711356277731143,41
56,57,False,51,0.8947368421052632,451.2631578947368,0,0,0.7711356277731143,41
57,58,True,52,0.896551724137931,459.2068965517241,912,1238,0.7699022951956986,41
58,59,True,53,0.8983050847457628,456.5593220338983,303,430,0.7691011877569667,42
59,60,False,53,0.8833333333333333,448.95,0,0,0.7691011877569667,41
60,61,True,54,0.8852459016393442,455.24590163934425,833,1111,0.7685069876850699,41
61,62,False,54,0.8709677419354839,447.9032258064516,0,0,0.7685069876850699,41
62,63,False,54,0.8571428571428571,440.7936507936508,0,0,0.7685069876850699,41
63,64,True,55,0.859375,441.875,510,606,0.769712310497809,41
64,65,False,55,0.8461538461538461,435.0769230769231,0,0,0.769712310497809,41
65,66,False,55,0.8333333333333334,428.4848484848485,0,0,0.769712310497809,41
66,67,True,56,0.835820895522388,423.8358208955224,117,147,0.7698167425721102,39
67,68,True,57,0.8382352941176471,426.5,605,745,0.7706534158849946,40
68,69,False,57,0.8260869565217391,420.3188405797101,0,0,0.7706534158849946,40
69,70,True,58,0.8285714285714286,418.3857142857143,285,322,0.7716242919246477,41
70,71,True,59,0.8309859154929577,419.28169014084506,482,639,0.7713375136031507,41
71,72,True,60,0.8333333333333334,414.44444444444446,71,93,0.7713185307726109,42
72,73,False,60,0.821917808219178,408.7671232876712,0,0,0.7713185307726109,42
73,74,True,61,0.8243243243243243,413.55405405405406,763,1013,0.7708564231738035,42
74,75,True,62,0.8266666666666667,413.0933333333333,379,559,0.7695670533296902,43
75,76,True,63,0.8289473684210527,414.4078947368421,513,680,0.7693153227973326,44
76,77,True,64,0.8311688311688312,413.8051948051948,368,550,0.7679866952686254,44
77,78,True,65,0.8333333333333334,412.43589743589746,307,420,0.7676155479729891,45
78,79,True,66,0.8354430379746836,412.0253164556962,380,514,0.7672724701223393,44
79,80,True,67,0.8375,412.4,442,553,0.7676842889054356,44
80,81,True,68,0.8395061728395061,417.320987654321,811,1148,0.7660910162269966,45
81,82,True,69,0.8414634146341463,418.0243902439024,475,584,0.766708419074886,46
82,83,True,70,0.8433734939759037,417.6024096385542,383,578,0.7653800291480811,47
83,84,False,70,0.8333333333333334,412.6309523809524,0,0,0.7653800291480811,47
84,85,False,70,0.8235294117647058,407.77647058823527,0,0,0.7653800291480811,46
85,86,True,71,0.8255813953488372,410.7325581395349,662,852,0.7655945207854696,47
86,87,True,72,0.8275862068965517,412.4597701149425,561,778,0.7648563389888311,46
87,88,True,73,0.8295454545454546,410.4886363636364,239,303,0.7650098477307863,46
88,89,True,74,0.8314606741573034,407.0674157303371,106,124,0.7652451259953953,47
89,90,True,75,0.8333333333333334,404.31111111111113,159,190,0.7655313150863611,46
90,91,True,76,0.8351648351648352,401.24175824175825,125,155,0.7656643180674384,46
91,92,True,77,0.8369565217391305,399.5217391304348,243,272,0.7663886572143452,47
92,93,True,78,0.8387096774193549,404.61290322580646,873,1128,0.7665620925684485,47
93,94,True,79,0.8404255319148937,409.17021276595744,833,1021,0.7675667045840069,47
94,95,True,80,0.8421052631578947,407.2736842105263,229,286,0.7677547375731719,47
95,96,False,80,0.8333333333333334,403.03125,0,0,0.7677547375731719,47
96,97,False,80,0.8247422680412371,398.87628865979383,0,0,0.7677547375731719,47
97,98,False,80,0.8163265306122449,394.8061224489796,0,0,0.7677547375731719,47
98,99,True,81,0.8181818181818182,391.6060606060606,78,134,0.7672623641869025,47
99,100,True,82,0.82,389.43,174,190,0.7678187661428656,48
100,101,True,83,0.8217821782178217,390.36633663366337,484,695,0.7668533862372117,49
101,102,True,84,0.8235294117647058,388.45098039215685,195,218,0.7673923148435079,49
102,103,True,85,0.8252427184466019,389.3980582524272,486,601,0.7678670572243601,49
103,104,True,86,0.8269230769230769,390.0,452,649,0.7669906584471087,50
104,105,False,86,0.819047619047619,386.2857142857143,0,0,0.7669906584471087,50
105,106,True,87,0.8207547169811321,385.33962264150944,286,352,0.7672915805688094,50
106,107,True,88,0.822429906542056,386.10280373831773,467,579,0.7677141211231486,50
107,108,False,88,0.8148148148148148,382.52777777777777,0,0,0.7677141211231486,50
108,109,False,88,0.8073394495412844,379.0183486238532,0,0,0.7677141211231486,50
109,110,True,89,0.8090909090909091,379.2,399,526,0.7676254623750897,48
110,111,True,90,0.8108108108108109,377.1621621621622,153,183,0.7678551777264223,48
111,112,True,91,0.8125,379.08035714285717,592,689,0.768995308905834,48
112,113,True,92,0.8141592920353983,380.75221238938053,568,826,0.7677962774595357,49
113,114,True,93,0.8157894736842105,382.87719298245617,623,759,0.7685048242834003,48
114,115,True,94,0.8173913043478261,387.37391304347824,900,1239,0.7676057551477556,49
115,116,True,95,0.8189655172413793,385.7155172413793,195,225,0.7679883281840028,49
116,117,False,95,0.811965811965812,382.4188034188034,0,0,0.7679883281840028,49
117,118,True,96,0.8135593220338984,384.2881355932203,603,814,0.76761350170972,49
118,119,False,96,0.8067226890756303,381.05882352941177,0,0,0.76761350170972,49
119,120,False,96,0.8,377.8833333333333,0,0,0.76761350170972,49
120,121,True,97,0.8016528925619835,377.3884297520661,318,395,0.767862247557551,49
121,122,True,98,0.8032786885245902,377.77868852459017,425,550,0.7679068295039904,50
122,123,True,99,0.8048780487804879,379.6178861788618,604,763,0.7682044026191964,51
123,124,False,99,0.7983870967741935,376.55645161290323,0,0,0.7682044026191964,51
124,125,False,99,0.792,373.544,0,0,0.7682044026191964,51
125,126,False,99,0.7857142857142857,370.57936507936506,0,0,0.7682044026191964,50
